article,marker_index,claude,gemini,final,verdict,context
001_勸誘_1911-01,3,ᄒᆞ니,홈이,ᄒᆞᆷᄋᆞㅣ,제3안,이呱呱의聲을一出⟪ᄒᆞᆷᄋᆞㅣ⟫有情空氣를呼吸ᄒ
001_勸誘_1911-01,4,ᄒᆞ,ㆍ흐,ᄒᆞ,C,ㅣ有情空氣를呼吸⟪ᄒᆞ⟫야萬有의慾點을始
001_勸誘_1911-01,5,ᄒᆞ,흐,ᄒᆞ,C,萬有의慾點을始發⟪ᄒᆞ⟫니此點의軌跡은循
001_勸誘_1911-01,6,니,ᆫ,ᆯ,제3안,이라極端에達ᄒᆞ⟪ᆯ⟫一日이無ᄒᆞᆫ故
001_勸誘_1911-01,8,爲,焉,焉,G,頃에沉ᄒᆞ야東風⟪焉⟫西飄ᄒᆞ며南風焉
001_勸誘_1911-01,9,爲,焉,焉,G,焉西飄ᄒᆞ며南風⟪焉⟫北飄ᄒᆞ야好鳥烟
001_勸誘_1911-01,11,ㅣ,一,ㅣ,C,惟物을主ᄒᆞ던者⟪ㅣ⟫反히惟物의奴隸를
001_勸誘_1911-01,12,隸,隷,隸,C,者ㅣ反히惟物의奴⟪隸⟫를成ᄒᆞ야不滿百
001_勸誘_1911-01,13,고,야,야,G,物의奴隸를成ᄒᆞ⟪야⟫不滿百의此生으로
001_勸誘_1911-01,14,야,고,고,G,古의憂愁를懷ᄒᆞ⟪고⟫極樂世界를變ᄒᆞ
001_勸誘_1911-01,15,리오,ᆯ가,ᆯ가,G,乃極樂이라謂ᄒᆞ⟪ᆯ가⟫是何言哉며是何言
001_勸誘_1911-01,16,∅,며,며,G,ᄒᆞᆯ가是何言哉⟪며⟫是何言哉아陶朱猗
001_勸誘_1911-01,17,∅,아,아,G,何言哉며是何言哉⟪아⟫陶朱猗頓의術을學
001_勸誘_1911-01,18,page_number: 二五,∅,,G,ᆞ야貴爲天子의身⟪⟫分을得ᄒᆞᆯ지라
001_勸誘_1911-01,20,∅,ᆫ,ᆫ,G,도彼仰觀昭昭ᄒᆞ⟪ᆫ⟫無數太陽界가吾의
001_勸誘_1911-01,21,吾,끔,吾,C,ᆞᆫ無數太陽界가⟪吾⟫의富貴的世界外의
001_勸誘_1911-01,22,外,上,外,C,가吾의富貴的世界⟪外⟫의世界를成ᄒᆞ야
001_勸誘_1911-01,23,를,을,를,C,貴的世界外의世界⟪를⟫成ᄒᆞ야無厭의慾
001_勸誘_1911-01,25,ᆯ,ᆫ,ᆯ,C,然而欲望을達ᄒᆞ⟪ᆯ⟫際限이無ᄒᆞᆷ으
001_勸誘_1911-01,26,ᄒᆞᆷ,궁,ᄒᆞᆷ,C,達ᄒᆞᆯ際限이無⟪ᄒᆞᆷ⟫으로極樂을得ᄒᆞ
001_勸誘_1911-01,27,ᄒᆞᄒᆞ,得ᄒᆞᆯ,得ᄒᆞᆯ,G,ᄒᆞᆷ으로極樂을⟪得ᄒᆞᆯ⟫一日이甚渺ᄒᆞ니
001_勸誘_1911-01,28,의,에,에,G,이無ᄒᆞ고妄想界⟪에⟫徘徊ᄒᆞ야此神明
001_勸誘_1911-01,36,는,ᄂᆞᆫ,ᄂᆞᆫ,G,樂과循時妄動ᄒᆞ⟪ᄂᆞᆫ⟫奴性의樂이아니라
001_勸誘_1911-01,37,ᄒᆞ,之,之,G,性의樂이아니라放⟪之⟫則六合이彌ᄒᆞ고
001_勸誘_1911-01,38,ᄒᆞ면,之則,之則,G,六合이彌ᄒᆞ고捲⟪之則⟫方寸에藏ᄒᆞ야斷
001_勸誘_1911-01,39,意,斷,斷,G,方寸에藏ᄒᆞ야斷⟪斷⟫無二ᄒᆞᆫ心田一
001_勸誘_1911-01,40,라ᄒᆞ,로다,로다,G,ᄒᆞᆫ心田一片이⟪로다⟫究我身은小分一世
001_勸誘_1911-01,41,ᄒᆞ,∅,,G,性은小分一天이라⟪⟫天으로宇宙를觀ᄒ
001_勸誘_1911-01,42,ᄒᆞ,를,를,G,天이라天으로宇宙⟪를⟫觀ᄒᆞ면宇宙도此
001_勸誘_1911-01,43,知命이어니其囊란天又,天으로富貴를觀ᄒᆞ면,天으로富貴를觀ᄒᆞ면,G,宇宙도此中生이며⟪天으로富貴를觀ᄒᆞ면⟫富貴도此中生이라
001_勸誘_1911-01,44,며,라,라,G,면富貴도此中生이⟪라⟫知命이어니其壽란
001_勸誘_1911-01,47,∅,니,,C,란天久며知止어니⟪⟫其貴란天爵이며知
001_勸誘_1911-01,50,란,는天,ᄂᆞᆫ,제3안,며知足이어니其富⟪ᄂᆞᆫ⟫天大라陋巷瓢飲에
001_勸誘_1911-01,51,飲,飮,飲,C,ᆞᆫ天大라陋巷瓢⟪飲⟫에曲肱枕之도樂在
001_勸誘_1911-01,52,ᄒᆞ,이,ᄒᆞ,C,行露宿도樂在其中⟪ᄒᆞ⟫니故로其樂을知ᄒ
001_勸誘_1911-01,53,∅,ᆫ,ᆫ,G,故로其樂을知ᄒᆞ⟪ᆫ⟫者ㅣ事業을能成ᄒ
001_勸誘_1911-01,54,事業,其樂,其樂,G,事業을能成ᄒᆞ고⟪其樂⟫을不知ᄒᆞ者ㅣ事
001_勸誘_1911-01,55,∅,ᆫ,,C,고其樂을不知ᄒᆞ⟪⟫者ㅣ事業을不成ᄒ
001_勸誘_1911-01,56,∅,나,나,G,ㅣ事業을不成ᄒᆞ⟪나⟫니乃知東西古今의
001_勸誘_1911-01,57,을不知ᄒᆞ고塵埃에,∅,,G,의聖賢豪傑도此樂⟪⟫中出來ᄒᆞᆫ者로
001_勸誘_1911-01,58,∅,ᆫ,ᆫ,G,도此樂中出來ᄒᆞ⟪ᆫ⟫者로다哀我同胞여
001_勸誘_1911-01,59,∅,塵埃가,塵埃가,G,不知之甚고靈府에⟪塵埃가⟫堆積ᄒᆞ되一番洒
001_勸誘_1911-01,60,되,야到,되,C,에塵埃가堆積ᄒᆞ⟪되⟫一番洒掃를不加ᄒ
001_勸誘_1911-01,61,洒,酒,洒,C,가堆積ᄒᆞ되一番⟪洒⟫掃를不加ᄒᆞ고甚
001_勸誘_1911-01,62,를,룰,를,C,積ᄒᆞ되一番洒掃⟪를⟫不加ᄒᆞ고甚則我
001_勸誘_1911-01,63,甚,는其,甚,C,洒掃를不加ᄒᆞ고⟪甚⟫則我心을沽ᄒᆞ야
001_勸誘_1911-01,64,質,貿,貿,G,을沽ᄒᆞ야魔心을⟪貿⟫ᄒᆞ며人心을市ᄒ
001_勸誘_1911-01,65,市,苛,市,C,을貿ᄒᆞ며人心을⟪市⟫ᄒᆞ야獸心을易ᄒ
001_勸誘_1911-01,70,를,룰,를,C,며其心既獸라人事⟪를⟫何修리오於是乎心
001_勸誘_1911-01,71,觀,棘,棘,G,何修리오於是乎心⟪棘⟫이叢生ᄒᆞ야一念
001_勸誘_1911-01,72,至焉,야,야,G,乎心棘이叢生ᄒᆞ⟪야⟫一念에千辛이生焉
001_勸誘_1911-01,73,이며,ᄒᆞ며一動에,ᄒᆞ며一動에,G,一念에千辛이生焉⟪ᄒᆞ며一動에⟫萬苦가至焉ᄒᆞ야
001_勸誘_1911-01,74,∅,ᄒᆞ,ᄒᆞ,G,成習에懶惰가隨之⟪ᄒᆞ⟫야天職을自棄ᄒᆞ
001_勸誘_1911-01,75,며言念到此에,다가,다가,G,며天任을自暴ᄒᆞ⟪다가⟫有所爲而來로無所
001_勸誘_1911-01,76,ᄒᆞ야,로,로,G,ᆞ다가有所爲而來⟪로⟫無所爲而歸ᄒᆞ니
001_勸誘_1911-01,77,∅,에,에,G,歸ᄒᆞ니言念到此⟪에⟫天地神明이爲之斷
001_勸誘_1911-01,78,page_number: 二六,∅,,G,念到此에天地神明⟪⟫이爲之斷腸이로다
001_勸誘_1911-01,79,라ᄒᆞ니,로다,로다,G,神明이爲之斷腸이⟪로다⟫此生極樂도一念之
001_勸誘_1911-01,80,∅,에,,C,極樂도一念之做次⟪⟫오後生極樂도一念
001_勸誘_1911-01,81,∅,依,,C,니早早히吾敎에歸⟪⟫ᄒᆞ야五萬年極樂
030_最高_1915-05,5,∅,야,ᆫ,제3안,然ᄒᆞ나如何ᄒᆞ⟪ᆫ⟫糟粕일지라도眞理
030_最高_1915-05,6,ᄂᆞᆫ,는,ᄂᆞᆫ,C,糟粕일지라도眞理⟪ᄂᆞᆫ⟫眞理니라.永劫을
030_最高_1915-05,8,ᄒᆞᆷ,홈,ᄒᆞᆷ,C,이라.實로度키難⟪ᄒᆞᆷ⟫은衆生이오解키難
