no,target_text,source_text,semantic_sim,hanja_sim,combined_score,target_uid,source_uid,검토결과,출처,target_local_id,source_local_id
1,東洋에 在하야는 佛敎的 文化 儒敎的 文化이며 西洋에 在하야는 基督敎 文化 가튼 것이라.,西洋に於ては基督敎が殆ど獨占である、東洋に於ては佛敎が宗敎としては最も廣く傳播して居る。,0.7255,0.3182,0.6033,BK_YD_1924_IY_00053,BK_IT_1915_PR_06666,,고신뢰,C01-S01-I02-P04-S02,C17-P13-S03
2,그리하야 그 無窮性으로부터 우러나오는 宗敎的 精神은 時代의 變遷을 隨하야 不絕히 新社會的 生活 要素를 創造하는 原動力이 될 것은 古今이 한가지로 다를 배 업겟다.,即ち宗敎が時代と共に形を變へて新しい者となつて後の人心を支配する樣になつて來るのであらう。,0.6655,0.15,0.5108,BK_YD_1924_IY_00067,BK_IT_1915_PR_07729,부분 일치,중신뢰,C01-S01-I02-P04-S16,C22-P05-S02
3,宗敎的 信念은 科學과 가티 事實證明으로 되는 것이 안이오 哲學과 가티 理論的 思索으로 되는 것은 안이다.,それは哲學は宗敎のやうに信仰に基くものでなくして、知的探究に據る所の硏究である。,0.6863,0.25,0.5554,BK_YD_1924_IY_00086,BK_IT_1915_PR_00371,부분 일치,중신뢰,C01-S02-I01-P01-S01,C02-S03-P07-S68
4,이에는 科學的 思索으로 容喙할 境涯가 못된다.,それは到底科學上から説明は付かぬと論じて居る。,0.6583,0.1176,0.4961,BK_YD_1924_IY_00109,BK_IT_1915_PR_02404,일,중신뢰,C01-S02-I01-P01-S24,C06-P09-S58
5,大概 宇宙에는 一定한 法則이 잇서 萬有가 一絲不亂히 그 法則의 上으로 進展하는 것이라.,世界萬物の變遷推移して行く所に一定の法則のあるのを觀て之を進化律として定めた譯であります。,0.6629,0.2,0.5241,BK_YD_1924_IY_00256,BK_IT_1915_PR_00695,일,중신뢰,C02-S01-I04-P01-S02,C03-P20-S02
6,大概 宇宙에는 一定한 法則이 잇서 萬有가 一絲不亂히 그 法則의 上으로 進展하는 것이라.,どうしても宇宙の全體の法則に律せられることを免れぬやうになつて居る。,0.6564,0.1905,0.5166,BK_YD_1924_IY_00256,BK_IT_1915_PR_02914,부분 일치,중신뢰,C02-S01-I04-P01-S02,C06-P28-S01
7,唯物論은 그 歷史를 遡考하면 事實上 唯心論보다 以前의 것이니,それであるから唯物論の方が唯心論よりは哲學史上發展の上から言ふと古いのである。,0.6894,0.3,0.5726,BK_YD_1924_IY_00664,BK_IT_1915_PR_00489,일,중신뢰,C03-S04-I02-P02-S02,C03-P08-S22
8,唯物論은 그 歷史를 遡考하면 事實上 唯心論보다 以前의 것이니,であるから哲學史の上から言つても、唯物論の方が先に起つて居る。,0.6645,0.25,0.5402,BK_YD_1924_IY_00664,BK_IT_1915_PR_00511,일,중신뢰,C03-S04-I02-P02-S02,C03-P10-S13
9,唯物論은 그 歷史를 遡考하면 事實上 唯心論보다 以前의 것이니,唯心論は確かに唯物論よりは後に起つて居るので一層進んだ哲學である。,0.6922,0.1818,0.5391,BK_YD_1924_IY_00664,BK_IT_1915_PR_00514,부분 일치,중신뢰,C03-S04-I02-P02-S02,C03-P10-S16
10,唯物論은 그 歷史를 遡考하면 事實上 唯心論보다 以前의 것이니,唯心論は唯物論よりはズツと進んだ哲學上の考であります。,0.6403,0.375,0.5607,BK_YD_1924_IY_00664,BK_IT_1915_PR_00729,일,중신뢰,C03-S04-I02-P02-S02,C03-P21-S02
11,이러케 생각하고 보면 唯物論과 唯心論은 둘이다 各一條의 眞理를 가젓슴과 가티 둘이다 一偏의 缺陷이 잇슴을 알지라,兎に角この實在論といふものは唯心論唯物論といふ此二つの哲學の立場の長處を捉へて居るのでありまして、どちらにも關係があります。,0.6847,0.1429,0.5221,BK_YD_1924_IY_00698,BK_IT_1915_PR_01087,부분 일치,중신뢰,C03-S04-I02-P06-S01,C03-P46-S04
12,實體로 보면 精神과 物質은 곳 實在이며 精神과 物質의 便으로 보면 實在는 곳 物質과 精神이 된다 함이라,實在に對して現象があるが、現象に精神的現象もあれば物質的現象もある。,0.6783,0.5,0.6248,BK_YD_1924_IY_00711,BK_IT_1915_PR_00868,,고신뢰,C03-S04-I02-P12-S01,C03-P33-S09
13,宇宙에는 唯一 人格的 神이 有하야 天地萬有를 創造하엿스며 進하야 人間界의 盛衰榮枯도 佑한 人格的 此 一神의 支配 下에서 進退한다 함이라,宇宙に於て只一つの神樣であるから、人が神樣に對しては絕對的に服從を爲して、此上もない權威を認めるのである。,0.656,0.1795,0.5131,BK_YD_1924_IY_00748,BK_IT_1915_PR_06494,일,중신뢰,C03-S04-I03-P02-S02,C17-P04-S04
14,이에서 一神敎와 汎神敎의 間에는 霄壤의 差異가 生하는 것이니 一神敎는 人格的 神을 認定함으로 써 宇宙의 間에 唯一의 實在를 오즉 神 其者로 보게 되고 神이 안인 一切萬有는 다 가티 泡幻虛影으로 알게 된 것이라,であるから、そこに至ると一神敎の神樣と汎神敎の神樣と何處に區別があるか、區別を見せよ。,0.6857,0.1111,0.5133,BK_YD_1924_IY_00750,BK_IT_1915_PR_06562,부분 일치,중신뢰,C03-S04-I03-P02-S04,C17-P06-S48
15,그와 反對로 汎神敎는 萬有를 한 가지로 神의 表顯으로 보는 故로 世界와 一切萬有를 永久的 實在로 보게 되는 것이로다,汎神敎の側では、神樣と世界とが別れずに、世界即神と云ふやうな具合に考へるのである。,0.7222,0.1852,0.5611,BK_YD_1924_IY_00751,BK_IT_1915_PR_09563,부분 일치,중신뢰,C03-S04-I03-P02-S05,C27-P10-S06
16,即 他物體의 運動은 無機的임과 反對로 그 生命의 運動은 有機的이 되는 것이니,この活動なるものが凡ての有機物にあるが、其活動は運動である。,0.6643,0.2941,0.5532,BK_YD_1924_IY_00769,BK_IT_1915_PR_00700,부분 일치,중신뢰,C03-S04-I04-P02-S04,C03-P20-S07
17,生命은 一定한 目的이 有하야 그 目的의 方面으로 恒常 繼續的 運動을 하고 잇나니,活動は一定の目的がある。,0.6542,0.3125,0.5517,BK_YD_1924_IY_00778,BK_IT_1915_PR_01621,일,중신뢰,C03-S04-I04-P04-S02,C04-P22-S38
18,生命은 一定한 目的이 有하야 그 目的의 方面으로 恒常 繼續的 運動을 하고 잇나니,所が、凡て生命は目的的の行動を執るものである。,0.6917,0.2632,0.5631,BK_YD_1924_IY_00778,BK_IT_1915_PR_02540,일,중신뢰,C03-S04-I04-P04-S02,C06-P15-S03
19,生命은 一定한 目的이 有하야 그 目的의 方面으로 恒常 繼續的 運動을 하고 잇나니,凡そ生命あるものは初から目的々行動を持つて居る。,0.6841,0.25,0.5539,BK_YD_1924_IY_00778,BK_IT_1915_PR_02656,일,중신뢰,C03-S04-I04-P04-S02,C06-P21-S36
20,生命은 一定한 目的이 有하야 그 目的의 方面으로 恒常 繼續的 運動을 하고 잇나니,生命ある所以は目的々の行動がある。,0.7471,0.2778,0.6063,BK_YD_1924_IY_00778,BK_IT_1915_PR_02704,,고신뢰,C03-S04-I04-P04-S02,C06-P24-S08
21,生命은 一定한 目的이 有하야 그 目的의 方面으로 恒常 繼續的 運動을 하고 잇나니,生命は立派に目的々 (Zweckmässig) になつて居る。,0.6906,0.2222,0.5501,BK_YD_1924_IY_00778,BK_IT_1915_PR_03251,일,중신뢰,C03-S04-I04-P04-S02,C07-P08-S02
22,生命은 一定한 目的이 有하야 그 目的의 方面으로 恒常 繼續的 運動을 하고 잇나니,生命には目的遂行の作用がありますから常に發展を遂げる。,0.7349,0.2381,0.5859,BK_YD_1924_IY_00778,BK_IT_1915_PR_03781,,고신뢰,C03-S04-I04-P04-S02,C08-P10-S72
23,生命은 一定한 目的이 有하야 그 目的의 方面으로 恒常 繼續的 運動을 하고 잇나니,何處までも目的を達して行く所の生命と云ふものがある。,0.6633,0.1905,0.5214,BK_YD_1924_IY_00778,BK_IT_1915_PR_03785,일,중신뢰,C03-S04-I04-P04-S02,C08-P10-S76
