series,checked,checker,title_verified,author_verified,page_range,status,note
91,2026-08-12,Soo,因襲的主觀에 拘束된 世人의 誤解,夜雷,1~7,일치,처음부터 목차와 같다. 제목부터 끝까지 완결
126,2026-08-12,Soo,任筆錄,滄海居士,42~47,고침,"목차는 「還元一束/滄海居士/42」 「任筆錄/朴炳玉/41」로 밀려 있었다. 지면 42~47은 滄海居士의 任筆錄이다. 폴더명 126_還元 → 126_任筆, series_index·meta.yaml 함께 정정. 「還元一束」은 개별 글이 아니라 부고 고정란(통58~198)"
158,2026-08-12,Soo,我觀苦樂論,李敦化,19~23,지면부족,제목은 論이다(NL 서지의 「說」은 오류). 필자 李敦化는 20쪽 상단에서 확인. 19쪽은 제목과 쪽번호뿐이고 20쪽 하단이 종결되지 않는다. 실제 5면인데 19~20쪽 두 장만 보유 — 21~23쪽 결락. 20쪽 하단의 「今古俚海(第五)」는 다른 란의 글
,2026-08-12,Soo,偉大ᄒᆞᆫ 心의 世界,李敦化,16~20,고침,"편외(_편외/편외_偉大한心의世界_1918-04). 목차는 「劉載豊/15쪽」이라 적었으나 지면은 李敦化·16~20쪽 완결. 목차가 「神平河善論/李敦化/16」이라 적은 자리가 바로 이 글이며, 「神平河善論」은 지면에 없다. 목차 필자로 거른 목록에서 이 글이 빠져 있었다"
34,2026-08-12,Soo+기계,大宇宙之戀愛,李敦化,26~29,보완,"정본에 「…眞面目에 符」에서 끊긴 채 Soo의 「마지막 스캔 뒤에도 원문이 있는지 확인 요망」 메모가 붙어 있었다. 목차상 다음 글이 29쪽이지만 그것은 다음 글의 시작 쪽일 뿐이고, 이 글의 꼬리가 29쪽 상단에 먼저 온다. 다음 글 「片時後寂寞을 斷不爲라」(CNTS-00048064887)의 첫 지면을 받아 29쪽 상단 넉 줄을 확인하고 보완했다 — 「符合ᄒᆞ면 쳐음으로 我 胸中에 天風海濤가 有ᄒᆞ며…天下의 大任을 擔當ᄒᆞᄂᆞ니라」. ⚠️ 이 넉 줄은 기계 판독이며 Soo 확인 대기 → 2026-08-12 Soo 확인 완료. ⚠️ 다만 보완하면서 <28>이 지워져 있던 것을 Soo가 짚어 되살렸다 — 쪽바꿈은 「符」와 「合」 사이이며 「符<28>合ᄒᆞ면」이 옳다"
36,2026-08-12,Soo+기계,是我修養,,10~13,보완,"정본이 「大」에서 끊긴 채 Soo의 「??? (끝부분 원본 확인할 것)」 메모가 붙어 있었다. 다음 글 「一人布德이卽天下布德」(CNTS-00048065095) 첫 지면 13쪽 상단에서 꼬리 한 줄을 찾았다 — 「成코져 하ᄂᆞᆫ 人은 木을 緣ᄒᆞ야 魚를 求하ᄂᆞᆫ 者ㅣ니 是我修養이며 々々々々인져」. 쪽바꿈이 「大成」을 갈라 「大<12>成코져」가 된 것이었고, 緣木求魚로 맺으며 제목 是我修養을 되뇌고 끝난다. ⚠️ 이 한 줄은 기계 판독이며 Soo 확인 대기 → 2026-08-12 Soo 확인 완료"
33,2026-08-12,기계,,,34~36,완결확인,"정본의 마지막이 樵夫歌 끝행 「天道敎를 ᄯᅡ라가셔, 神人압헤 福을밧세」였다. 다음 글 「刹那刹那에 職」(CNTS-00048064880) 첫 지면 36쪽을 열어 보니 바로 그 행 뒤에 가로 구분선이 그어지고 「刹那刹那에 職 / 徐相和」가 시작한다. 빠진 것 없음. 다만 정본의 쪽 표시는 <35>에서 멈추어 36쪽분에 <36>이 없다"
35,2026-08-12,기계,,,5~7,완결확인,정본의 마지막이 「余曰 天德師恩.」이었다. 다음 글 「新新解」(CNTS-00048064998) 첫 지면 7쪽을 열어 보니 그 대목(人乃天 문답)이 그대로 있고 뒤이어 「敎門訂議」 란 표제가 온다. 빠진 것 없음. 정본의 쪽 표시는 <6>에서 멈춘다
31,2026-08-12,기계,,,38~40,완결확인,「時鍾은 旣히 十二點을 報코자ᄒᆞᄂᆞᆫᄃᆡ 落ᄒᆞᄂᆞᆫ 月에 啼ᄒᆞᄂᆞᆫ 杜鵑聲이 凄ᄒᆞ고도 凉ᄒᆞ다.<40>」로 맺는다 — 문장·정경 모두 종결이고 쪽 표시 <40>까지 있다. 목차가 다음 글을 38~39쪽에 두어 의심했으나 📌 규칙대로 끝쪽은 +1이었다. 다음 글 「李一得氏」는 NL에 등재가 없어(검색 0건) 지면 대조는 못 했다
32,2026-08-12,기계,,,,완결확인,「…人生의 最終 目的에 達ᄒᆞᆷ을 忘치 勿ᄒᆞᆯ지어다. 嗚呼.」로 맺는다. 「嗚呼」가 홀로 남아 끊긴 듯 보였으나 앞이 「勿ᄒᆞᆯ지어다」라는 명령형 종결이므로 영탄으로 닫은 것이다. ⚠️ 다음 글이 諺文部(쪽번호를 따로 매기는 란)라 지면 대조는 못 했다 — 문면 판단이다
30,2026-08-12,기계,,,25~27,완결확인,다음 글 「天人의 欲能者一本」(李鳳崗)이 같은 27쪽 하단에서 시작하므로 우리가 가진 지면으로 그대로 확인된다. 정본 마지막 문장 「…適合ᄒᆞᆫ 宗敎ᄂᆞᆫ 神識에 暗ᄒᆞᆫ 衆生을 指導ᄒᆞᄂᆞᆫ 最高消遣法이라 ᄒᆞ노라」 바로 뒤에 세로 구분선이 그어지고 「天人의 欲能者一本 / 李鳳崗」과 필자 사진(奉訓 李正模氏)이 온다. 빠진 것 없음
37,2026-08-12,기계,,,2~8,완결확인,다음 글 「旡極我」(沕堂)가 같은 8쪽 하단에서 시작하므로 우리 지면으로 확인된다. 정본 마지막 문장 「…吾敎大明의 日은 列敎의 光明이 一體 同化ᄒᆞᆯ 줄로 思ᄒᆞ노라」 바로 뒤에 세로 구분선과 「敎理部」 란 표제가 오고 「旡極我」가 시작한다. 빠진 것 없음
158,2026-08-13,Soo,我觀苦樂論,李敦化,19~24,보완,"🔴 2026-08-12의 「지면부족」이 해소되었다. 소장 영인본을 촬영해(20260813_115957~120036, 5장) 단 10개로 잘라 전문을 판독했다. ⚠️ 끝 쪽도 정정한다 — 08-12에 19~23쪽(5면)으로 적었으나 실제는 19~24쪽 6면이다. 24쪽에 이 글의 꼬리와 다음 글 「兩無相値萬有生」(趙炳燁)의 머리가 함께 앉는다(📌 규칙 사례). 20쪽 하단의 「今古俚海(第五)」가 다른 란의 글이라는 08-12 판정도 촬영분에서 재확인했다 — 단 4개에 걸쳐 있으며 판독본에 〔別欄〕으로 분리했다"
,2026-08-13,Soo,神平河善論 (지면에 없음),,,확정,⚠️ 편 번호 없음 — 목차에만 있는 항목이다. 「神平河善論」은 **이돈화의 글이 아니다.** 지면의 제목도 목차와 조금 다르다. 곧 목차 한 줄에 오류가 셋 겹쳤다 — 필자 귀속·제목·쪽. 08-12에 확인한 대로 그 자리(16~20쪽)의 글은 李敦化의 「偉大ᄒᆞᆫ 心의 世界」다. 이돈화 목록에서 「神平河善論」을 빼고 「偉大ᄒᆞᆫ 心의 世界」를 넣으면 총계 168·李敦化 93은 그대로다
